code	parent	level	unit	name
29107	835	3	xã	Thới Thuận
836	83	2	huyện	Ba Tri
29110	836	3	thị trấn	Ba Tri
29116	836	3	xã	Mỹ Hòa
29119	836	3	xã	Tân Xuân
29122	836	3	xã	Mỹ Chánh
29125	836	3	xã	Bảo Thạnh
29128	836	3	xã	An Phú Trung
29131	836	3	xã	Mỹ Thạnh
29134	836	3	xã	Mỹ Nhơn
29137	836	3	xã	Phước Ngãi
29143	836	3	xã	An Ngãi Trung
29146	836	3	xã	Phú Lễ
29149	836	3	xã	An Bình Tây
29152	836	3	xã	Bảo Thuận
29155	836	3	xã	Tân Hưng
29158	836	3	xã	An Ngãi Tây
29161	836	3	xã	An Hiệp
29164	836	3	xã	Vĩnh Hòa
29167	836	3	xã	Tân Thủy
29170	836	3	xã	Vĩnh An
29173	836	3	xã	An Đức
29176	836	3	xã	An Hòa Tây
29179	836	3	thị trấn	Tiệm Tôm
837	83	2	huyện	Thạnh Phú
29182	837	3	thị trấn	Thạnh Phú
29185	837	3	xã	Phú Khánh
29188	837	3	xã	Đại Điền
29191	837	3	xã	Quới Điền
29194	837	3	xã	Tân Phong
29197	837	3	xã	Mỹ Hưng
29200	837	3	xã	An Thạnh
29203	837	3	xã	Thới Thạnh
29206	837	3	xã	Hòa Lợi
29209	837	3	xã	An Điền
29212	837	3	xã	Bình Thạnh
29215	837	3	xã	An Thuận
29218	837	3	xã	An Quy
29221	837	3	xã	Thạnh Hải
29224	837	3	xã	An Nhơn
29227	837	3	xã	Giao Thạnh
29230	837	3	xã	Thạnh Phong
29233	837	3	xã	Mỹ An
838	83	2	huyện	Mỏ Cày Bắc
28889	838	3	xã	Phú Mỹ
28901	838	3	xã	Hưng Khánh Trung A
28906	838	3	xã	Thanh Tân
28909	838	3	xã	Thạnh Ngãi
28912	838	3	xã	Tân Phú Tây
28915	838	3	thị trấn	Phước Mỹ Trung
28918	838	3	xã	Tân Thành Bình
28921	838	3	xã	Thành An
28924	838	3	xã	Hòa Lộc
28927	838	3	xã	Tân Thanh Tây
28933	838	3	xã	Tân Bình
28936	838	3	xã	Nhuận Phú Tân
